,pickup_zone,drop_zone
422660,Williamsburg (North Side),Bronxdale
422677,Fort Greene,West Farms/Bronx River
422701,Ridgewood,Briarwood/Jamaica Hills
422745,Bushwick North,Central Harlem
422763,East Harlem North,New Dorp/Midland Beach
422807,Sunset Park East,Sunnyside
422901,Cypress Hills,Ocean Hill
422916,Ocean Parkway South,Gravesend
423188,Prospect Park,East Harlem South
423190,Queensbridge/Ravenswood,Greenwich Village North
423240,Astoria,Schuylerville/Edgewater Park
423282,East Elmhurst,Bayside
423349,Williamsburg (South Side),Forest Hills
423477,East Concourse/Concourse Village,East Chelsea
423502,Manhattan Beach,Brooklyn Heights
423607,Spuyten Duyvil/Kingsbridge,Woodside
423648,Flushing Meadows-Corona Park,Co-Op City
423708,Central Park,Hunts Point
423791,College Point,Washington Heights South
423798,Co-Op City,Morrisania/Melrose
423910,Soundview/Bruckner,Midtown South
423943,Hollis,Corona
423950,Old Astoria,Meatpacking/West Village West
423964,Glendale,Kew Gardens
424035,Queensbridge/Ravenswood,Soundview/Bruckner
424037,Willets Point,Midtown North
424119,Flushing,Fordham South
424161,Bay Ridge,Elmhurst/Maspeth
424206,Inwood,Woodside
424275,East Williamsburg,East New York
424629,Long Island City/Queens Plaza,Ocean Hill
424708,JFK Airport,Two Bridges/Seward Park
424718,Jamaica,Battery Park
424726,Steinway,Prospect Park
424801,Bedford,Old Astoria
425009,Crotona Park East,Bronx Park
425299,Bushwick South,South Ozone Park
425345,East Concourse/Concourse Village,Lower East Side
425349,Van Cortlandt Park,Co-Op City
425469,South Ozone Park,Bushwick South
425525,Mount Hope,Longwood
425553,Boerum Hill,Springfield Gardens North
425738,JFK Airport,East New York
425853,Ridgewood,Cypress Hills
426100,Astoria,Canarsie
426137,Manhattanville,Financial District North
426361,JFK Airport,Springfield Gardens North
426483,Windsor Terrace,Erasmus
426588,Cobble Hill,North Corona
426687,Saint Michaels Cemetery/Woodside,Steinway
426896,Flushing Meadows-Corona Park,South Jamaica
427000,Elmhurst/Maspeth,Park Slope
427330,Maspeth,West Farms/Bronx River
427348,Flushing Meadows-Corona Park,Rockaway Park
427735,Morrisania/Melrose,Chinatown
427817,DUMBO/Vinegar Hill,Hillcrest/Pomonok
427972,Maspeth,Greenwich Village North
428070,Gowanus,Midwood
428075,Hillcrest/Pomonok,Old Astoria
428106,South Williamsburg,East Harlem South
428183,Brighton Beach,Jamaica
428392,Richmond Hill,Gowanus
428462,Bronxdale,Soundview/Castle Hill
428686,Prospect-Lefferts Gardens,Windsor Terrace
428945,South Jamaica,Cambria Heights
429079,Flushing Meadows-Corona Park,Marine Park/Mill Basin
429095,Willets Point,Brooklyn Heights
429121,Willets Point,Upper West Side North
429139,Flushing Meadows-Corona Park,Bay Terrace/Fort Totten
429211,Kew Gardens,TriBeCa/Civic Center
429249,Bay Ridge,Richmond Hill
429373,North Corona,Midtown East
429436,Steinway,Financial District North
429508,Marine Park/Floyd Bennett Field,Coney Island
429636,Glendale,Astoria
429662,Highbridge Park,Belmont
429761,Washington Heights North,Pelham Parkway
429764,Flatbush/Ditmas Park,Homecrest
429935,Flatbush/Ditmas Park,Brownsville
430058,Mount Hope,Crotona Park
430164,Soundview/Bruckner,Norwood
430319,Fresh Meadows,Morningside Heights
430377,Homecrest,Sunset Park West
430653,Saint Albans,Flushing Meadows-Corona Park
430774,Long Island City/Hunters Point,West Farms/Bronx River
431031,Inwood Hill Park,Van Cortlandt Village
431056,East Harlem North,Crown Heights South
431086,Kingsbridge Heights,Murray Hill
431298,Ocean Hill,Long Island City/Hunters Point
431399,Springfield Gardens North,LaGuardia Airport
431409,East Chelsea,Clinton East
431871,College Point,Astoria
431883,Saint Michaels Cemetery/Woodside,Elmhurst
431920,Fresh Meadows,Two Bridges/Seward Park
431985,Prospect-Lefferts Gardens,Cypress Hills
432237,Sunnyside,Red Hook
432542,Coney Island,Carroll Gardens
432573,Norwood,Van Cortlandt Park
432815,Roosevelt Island,Ridgewood
432866,Manhattanville,Bushwick South
433006,Cambria Heights,Flushing Meadows-Corona Park
433065,Flushing,Sunset Park East
433108,Corona,South Ozone Park
433124,University Heights/Morris Heights,Kew Gardens Hills
433358,Hillcrest/Pomonok,College Point
433684,Stapleton,Saint George/New Brighton
433787,Old Astoria,East New York
433837,Fordham South,Central Park
433888,Manhattanville,Park Slope
433956,Riverdale/North Riverdale/Fieldston,East Harlem South
433992,Greenpoint,Auburndale
434009,Flushing,Gowanus
434185,Bushwick South,Brighton Beach
434306,Oakwood,East Harlem North
434566,Fresh Meadows,JFK Airport
434656,Marine Park/Mill Basin,Astoria
434773,Flushing Meadows-Corona Park,Hudson Sq
434860,Washington Heights South,Sunset Park West
434908,Murray Hill-Queens,Forest Hills
434946,Coney Island,Greenwich Village South
435079,Sheepshead Bay,Prospect Heights
435095,Bedford,Seaport
435282,Bensonhurst East,Borough Park
435361,Yorkville West,Jackson Heights
435462,Fort Greene,Saint George/New Brighton
435528,Astoria,Cobble Hill
435595,Downtown Brooklyn/MetroTech,Woodhaven
435658,Randalls Island,Astoria
435761,Washington Heights North,Greenwich Village South
435775,Long Island City/Queens Plaza,Saint Albans
435883,Coney Island,Lincoln Square East
435989,Boerum Hill,North Corona
436014,Woodside,Douglaston
436239,Coney Island,DUMBO/Vinegar Hill
436346,Elmhurst/Maspeth,Willets Point
436352,College Point,Glendale
436476,Cobble Hill,Manhattan Valley
436576,DUMBO/Vinegar Hill,Glendale
436667,Williamsburg (South Side),Washington Heights South
436706,LaGuardia Airport,Murray Hill-Queens
436747,Central Harlem,Inwood Hill Park
436945,Highbridge Park,Bronx Park
436949,South Ozone Park,East Flatbush/Remsen Village
437150,East Harlem North,Brighton Beach
437173,Kew Gardens Hills,Glen Oaks
437231,Forest Hills,Van Cortlandt Village
437239,Washington Heights North,Crown Heights North
437248,Randalls Island,East Village
437304,Flatbush/Ditmas Park,South Ozone Park
437322,Boerum Hill,Richmond Hill
437412,Rego Park,Highbridge
437563,Crotona Park East,Washington Heights South
437723,Jamaica,Upper West Side South
437855,Morningside Heights,Eastchester
438079,Woodside,Crotona Park East
438381,Midwood,UN/Turtle Bay South
438452,Red Hook,Financial District North
438528,Red Hook,Sunset Park East
438535,Queens Village,Ocean Hill
438599,Belmont,West Village
438793,Prospect-Lefferts Gardens,Sunset Park East
438918,Clinton East,Clinton East
438946,Flushing,Central Park
439067,Park Slope,Morrisania/Melrose
439087,Prospect-Lefferts Gardens,East Harlem North
439393,Astoria,West Farms/Bronx River
439481,East Harlem South,Fresh Meadows
439679,DUMBO/Vinegar Hill,Woodhaven
439695,West Concourse,Clinton Hill
440029,LaGuardia Airport,Flatiron
440091,Fort Greene,Allerton/Pelham Gardens
440317,Soundview/Castle Hill,South Williamsburg
440363,Morrisania/Melrose,Parkchester
440372,Forest Hills,East Concourse/Concourse Village
440482,Ridgewood,East Elmhurst
440982,Brooklyn Navy Yard,East Chelsea
441211,Brooklyn Heights,Jamaica Estates
441272,Elmhurst/Maspeth,Rosedale
441393,Bay Ridge,Bedford
441448,Highbridge,Flatiron
441521,Woodside,Rockaway Park
441557,Astoria,Coney Island
441582,South Ozone Park,Marine Park/Mill Basin
441945,Canarsie,Prospect-Lefferts Gardens
442102,Flushing,Saint Albans
442173,Flatbush/Ditmas Park,Hunts Point
442208,Briarwood/Jamaica Hills,Old Astoria
442260,Clinton Hill,Stapleton
442413,Canarsie,Jamaica
442504,Glendale,East New York
442506,Brooklyn Heights,East Concourse/Concourse Village
443012,Bronx Park,Woodlawn/Wakefield
443136,JFK Airport,Rego Park
443312,West Concourse,Hudson Sq
443357,Highbridge,Union Sq
443362,East Flatbush/Farragut,Jamaica Estates
443464,Williamsburg (South Side),Sunset Park West
443478,Oakland Gardens,Richmond Hill
443506,Queens Village,Schuylerville/Edgewater Park
443507,Schuylerville/Edgewater Park,Bay Terrace/Fort Totten
443851,Hollis,Glen Oaks
443883,Saint Michaels Cemetery/Woodside,Astoria
444039,Yorkville East,Richmond Hill
444344,Rego Park,West Concourse
444345,Borough Park,Prospect-Lefferts Gardens
444376,Hollis,Flushing
444447,Park Slope,Stuy Town/Peter Cooper Village
444572,Greenpoint,Sheepshead Bay
444596,Bedford,Brighton Beach
444981,Astoria,Carroll Gardens
444992,Kingsbridge Heights,Crotona Park East
445088,Brooklyn Navy Yard,Central Harlem North
445172,Manhattanville,Williamsburg (North Side)
445174,West Concourse,South Ozone Park
445204,Breezy Point/Fort Tilden/Riis Beach,Gravesend
445213,Flushing Meadows-Corona Park,Sheepshead Bay
445221,DUMBO/Vinegar Hill,East New York
445259,Flushing Meadows-Corona Park,Breezy Point/Fort Tilden/Riis Beach
445262,Willets Point,Sutton Place/Turtle Bay North
445352,West Concourse,East Flatbush/Remsen Village
445403,Belmont,Queensbridge/Ravenswood
445412,Morningside Heights,Midwood
445571,Hollis,Kew Gardens
445612,Cypress Hills,Whitestone
445739,College Point,Kew Gardens
445760,Eastchester,Co-Op City
445855,Erasmus,Borough Park
445906,Long Island City/Hunters Point,Central Harlem North
446162,Ridgewood,Old Astoria
446314,Upper West Side North,Manhattan Valley
446422,Astoria,Erasmus
446556,Queensbridge/Ravenswood,Jamaica
447036,Long Island City/Hunters Point,Glendale
447045,Flushing,Fort Greene
447106,Prospect-Lefferts Gardens,Little Italy/NoLiTa
447205,East Williamsburg,Canarsie
447238,Bushwick North,East Harlem North
447263,DUMBO/Vinegar Hill,North Corona
447426,Richmond Hill,Springfield Gardens North
447502,Westchester Village/Unionport,Manhattanville
447580,Bushwick South,East Tremont
447616,Forest Hills,Coney Island
447627,Windsor Terrace,Crown Heights North
447653,Flatbush/Ditmas Park,World Trade Center
447654,Woodside,Seaport
447957,Briarwood/Jamaica Hills,Fresh Meadows
448017,College Point,South Ozone Park
448077,Saint George/New Brighton,Westerleigh
448176,Coney Island,East Chelsea
448294,East Harlem North,Cambria Heights
448309,Fort Greene,Bath Beach
448369,Windsor Terrace,Ridgewood
448497,Queensbridge/Ravenswood,Maspeth
448575,Long Island City/Queens Plaza,Clinton Hill
448580,Baisley Park,Brighton Beach
448672,Marine Park/Floyd Bennett Field,Flatbush/Ditmas Park
448695,Fresh Meadows,Queens Village
448718,Erasmus,Park Slope
448736,Coney Island,Prospect Heights
448766,Kingsbridge Heights,Bronxdale
448812,Prospect Heights,Manhattan Valley
448837,East New York,Brighton Beach
448850,South Jamaica,Elmhurst/Maspeth
448874,Jackson Heights,Longwood
448894,Williamsburg (South Side),Central Harlem North
448895,Corona,Bronxdale
448898,Bushwick South,Flatiron
448910,Red Hook,Maspeth
448976,Jamaica,Claremont/Bathgate
448997,East Tremont,Whitestone
449043,East Flushing,Willets Point
449139,Soundview/Bruckner,JFK Airport
449158,Yorkville West,DUMBO/Vinegar Hill
449216,Sunnyside,World Trade Center
449248,Maspeth,Queensbridge/Ravenswood
449524,Belmont,Times Sq/Theatre District
449803,Belmont,Midtown South
449953,Jamaica,Cobble Hill
450000,Long Island City/Queens Plaza,Fresh Meadows
450076,Coney Island,Starrett City
450247,DUMBO/Vinegar Hill,Brighton Beach
450715,Woodside,Randalls Island
450824,Soundview/Castle Hill,Bedford Park
451098,Bay Terrace/Fort Totten,Morningside Heights
451128,Belmont,Midtown North
451158,Long Island City/Queens Plaza,Crown Heights South
451162,Brooklyn Navy Yard,Flatbush/Ditmas Park
451238,Starrett City,Coney Island
451277,Elmhurst/Maspeth,Bensonhurst West
451367,Prospect Heights,Columbia Street
451875,East Flatbush/Farragut,Flatlands
451954,Middle Village,DUMBO/Vinegar Hill
451972,Sunset Park West,Elmhurst/Maspeth
452026,Hunts Point,Whitestone
452044,West Concourse,Elmhurst
452047,Highbridge,Flushing Meadows-Corona Park
452109,Washington Heights North,Brownsville
452119,West Concourse,City Island
452164,Randalls Island,Newark Airport
452168,East Elmhurst,Midtown Center
452202,Hollis,South Jamaica
452246,Far Rockaway,Brighton Beach
452531,Morrisania/Melrose,Morningside Heights
452758,Columbia Street,Yorkville East
452832,Long Island City/Hunters Point,Murray Hill-Queens
453034,Central Park,Sheepshead Bay
453163,Coney Island,Garment District
453401,JFK Airport,Flushing
453599,Elmhurst/Maspeth,Laurelton
453831,Ocean Parkway South,Ridgewood
453871,West Concourse,Seaport
453926,West Concourse,East Elmhurst
453999,Elmhurst/Maspeth,Sheepshead Bay
454220,Central Harlem,Pelham Bay
454235,Flatlands,Chinatown
454391,Woodlawn/Wakefield,Woodlawn/Wakefield
454419,Ocean Hill,Jackson Heights
454513,Starrett City,Brighton Beach
454723,Crown Heights South,Cambria Heights
454758,Marine Park/Mill Basin,Jamaica
455083,Elmhurst,Soundview/Bruckner
455409,Upper East Side North,Rego Park
455510,Park Slope,Central Park
455586,Van Cortlandt Park,Washington Heights South
455617,Ocean Hill,Elmhurst
455658,JFK Airport,Jackson Heights
455665,Queensbridge/Ravenswood,Mount Hope
455691,Central Park,Westchester Village/Unionport
455741,Woodhaven,Williamsburg (South Side)
455820,Flushing Meadows-Corona Park,Ocean Hill
455899,Mount Hope,Flushing
455905,Corona,Auburndale
456012,Crown Heights North,Dyker Heights
456162,Crotona Park East,Soundview/Castle Hill
456264,East New York,Kew Gardens
456353,Canarsie,Greenpoint
456653,East New York,Downtown Brooklyn/MetroTech
456706,Jamaica,West Village
456999,Arrochar/Fort Wadsworth,Brighton Beach
457009,South Ozone Park,Bushwick North
457305,Williamsburg (North Side),Canarsie
457341,Bath Beach,East Flatbush/Farragut
457468,Mount Hope,Schuylerville/Edgewater Park
457476,Pelham Parkway,Upper West Side North
457506,Flushing,Windsor Terrace
457589,West Concourse,Highbridge Park
457599,Rego Park,Roosevelt Island
457613,LaGuardia Airport,Boerum Hill
457650,Willets Point,Ridgewood
457668,Central Harlem North,Flatlands
457671,Corona,Baisley Park
457676,Green-Wood Cemetery,Ridgewood
457695,Willets Point,World Trade Center
457711,Coney Island,Saint George/New Brighton
457714,Brooklyn Navy Yard,Long Island City/Hunters Point
457721,Norwood,Springfield Gardens South
457739,East New York,Elmhurst
457755,Kew Gardens,Starrett City
457782,Prospect-Lefferts Gardens,Old Astoria
457788,Williamsburg (South Side),Ozone Park
457914,South Jamaica,South Ozone Park
458145,Mott Haven/Port Morris,Old Astoria
458343,Westchester Village/Unionport,Norwood
458381,Brooklyn Navy Yard,Little Italy/NoLiTa
458385,South Williamsburg,Borough Park
458474,Baisley Park,Clinton East
458517,Crown Heights North,Lenox Hill West
458968,Morrisania/Melrose,East Village
459037,Auburndale,Corona
459117,Sunnyside,Financial District North
459131,Rego Park,Gramercy
459266,Flatbush/Ditmas Park,Two Bridges/Seward Park
459396,Whitestone,Old Astoria
459445,Springfield Gardens South,Springfield Gardens South
459511,Stapleton,Coney Island
459515,Willets Point,Carroll Gardens
459516,Corona,SoHo
459629,Middle Village,Manhattan Beach
459691,Washington Heights North,Clinton Hill
459878,East Elmhurst,Maspeth
459894,Bedford,Middle Village
459895,Homecrest,Jamaica
460014,Ocean Hill,Ridgewood
460091,Willets Point,Murray Hill-Queens
460119,Central Harlem North,Bedford
460147,Queensbridge/Ravenswood,East New York/Pennsylvania Avenue
460470,Ocean Parkway South,DUMBO/Vinegar Hill
460477,Yorkville West,Westchester Village/Unionport
460500,Steinway,Crotona Park East
460506,East Elmhurst,Marine Park/Mill Basin
460516,Co-Op City,Mott Haven/Port Morris
460579,East New York,Flatlands
460639,Sunnyside,Alphabet City
460860,Forest Hills,West Concourse
460865,South Ozone Park,Gravesend
461011,North Corona,Upper West Side North
461097,North Corona,TriBeCa/Civic Center
461101,Coney Island,East Village
461122,Highbridge,Bay Ridge
461165,Flushing Meadows-Corona Park,Springfield Gardens South
461177,Carroll Gardens,Upper East Side North
461366,Newark Airport,Penn Station/Madison Sq West
461425,Red Hook,Battery Park City
461477,Red Hook,Columbia Street
461480,Columbia Street,Midtown South
461682,Red Hook,Gramercy
461737,Red Hook,Bushwick South
461738,Manhattanville,Long Island City/Hunters Point
461871,Fort Greene,Marine Park/Floyd Bennett Field
462043,Bedford,Longwood
462118,East Tremont,Marble Hill
462172,Flushing Meadows-Corona Park,Inwood
462174,Belmont,UN/Turtle Bay South
462223,Flushing,East Flatbush/Farragut
462254,Bensonhurst West,Washington Heights South
462319,Williamsburg (North Side),Morningside Heights
462481,Willets Point,Bloomingdale
462578,Highbridge,Bedford
462644,East Concourse/Concourse Village,Astoria
462744,College Point,Jamaica
462855,Longwood,Kew Gardens
463048,Van Cortlandt Park,Williamsbridge/Olinville
463075,Long Island City/Queens Plaza,Battery Park City
463183,Hillcrest/Pomonok,Jackson Heights
463192,Bedford Park,Riverdale/North Riverdale/Fieldston
463378,Longwood,Astoria
463391,Middle Village,JFK Airport
463471,West Farms/Bronx River,East Harlem North
463514,Inwood Hill Park,Central Harlem
463549,Hamilton Heights,Borough Park
463652,Flushing Meadows-Corona Park,Crown Heights South
463884,Manhattanville,Willets Point
463998,Corona,West Village
464060,Boerum Hill,Soundview/Castle Hill
464107,South Ozone Park,Kensington
464132,Mott Haven/Port Morris,Downtown Brooklyn/MetroTech
464246,Stuyvesant Heights,Greenpoint
464290,Midwood,Borough Park
464326,East Tremont,Morningside Heights
464344,Astoria,Eastchester
464355,Forest Park/Highland Park,Williamsburg (South Side)
464478,Ozone Park,Elmhurst/Maspeth
464505,LaGuardia Airport,Financial District South
464508,Flushing Meadows-Corona Park,Van Nest/Morris Park
464717,Jackson Heights,Financial District South
464849,South Ozone Park,Bay Ridge
464912,Allerton/Pelham Gardens,Soundview/Castle Hill
464964,Bay Ridge,South Jamaica
465003,Spuyten Duyvil/Kingsbridge,Van Nest/Morris Park
